algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,1,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,2,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
NSGA-II,11 86 28 56,ÇİKOLATALI YULAF GEVREĞİ | ÜZÜM PEKMEZİ | HİNDİ SALAMI | PATATES SALATASI,170.0,300.0,True,176.1182,5,False,2000.0,2400.0,True,2338.5773,user1_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,27.9664,6,0,306 258,ORMAN  KEBABI | KIYMALI KABAK DOLMASI,32.3,17.03,31.4,233.0,0.005917,40.0,100.0,False,101.1834,3,1500.0,2300.0,True,1567.326,1,user_gamma_3991,False,1
