algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,11 48 25,ÇİKOLATALI YULAF GEVREĞİ | MEVSİM SALATASI | HAVUÇ SUYU,170.0,300.0,True,234.253,5,False,2000.0,2400.0,True,2243.7346,user2_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,26.3566,7,0,132 95 243 130,CACIK LD | AKDENİZ SALATASI LD | KABAK TARATOR | BÜLBÜL YUVASI,14.0,13.9,55.1,183.0,0.0,40.0,100.0,True,47.6588,1,1500.0,2300.0,True,1715.3899,2,user_orbit_1740,True,0
NSGA-II,59 44 76 92,PATATESLİ MİLFÖY BÖREĞİ | LOR PEYNİRİ | SİYAH ZEYTIN | YEŞİL ZEYTIN,170.0,300.0,True,281.4675,8,False,2000.0,2400.0,True,2173.6032,user2_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,38.4187,9,0,318 317 160 378 302,PEYNİRLİ MAKARNA | PEYNİRLİ AKDENİZ SALATASI LD | ELMA SUYU LD | YAZ KURU FASULYESİ | MUZ,31.0,10.96,51.0,210.0,0.0,40.0,100.0,True,49.1512,2,1500.0,2300.0,True,2263.847,2,user_orbit_1740,True,0
NSGA-II,59 44 76 92,PATATESLİ MİLFÖY BÖREĞİ | LOR PEYNİRİ | SİYAH ZEYTIN | YEŞİL ZEYTIN,170.0,300.0,True,281.4675,8,False,2000.0,2400.0,True,2173.6032,user2_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,38.4187,9,0,318 317 160 378 302,PEYNİRLİ MAKARNA | PEYNİRLİ AKDENİZ SALATASI LD | ELMA SUYU LD | YAZ KURU FASULYESİ | MUZ,31.0,10.96,51.0,210.0,0.0,40.0,100.0,True,49.1512,3,1500.0,2300.0,True,2263.847,2,user_orbit_1740,True,0
