algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,75 84 36 17 69 3 92 7 76,SİMİT | TAM BUĞDAY EKMEK | KAYMAK | ELMA DİLİM PATATES KIZARTMASI B | ROKA SALATASI | AYVA REÇELİ | YEŞİL ZEYTIN | BÖĞÜRTLEN REÇELİ | SİYAH ZEYTIN,170.0,300.0,True,209.8829,11,True,1800.0,2200.0,False,1799.8598,user125_nsgaii_diversity_sample_menus,20.0,9999.0,True,20.9303,15,0,381 155 270 254 98 399,YOĞURT | EKMEK LD | KREMALI BROKOLİ ÇORBASI | KISIR | ALİ PAŞA PİLAVI | ZEYTİNYAĞLI ISPANAK,53.3,24.2,0.0,245.0,0.022973,40.0,100.0,True,46.7822,1,1500.0,2300.0,True,1902.3512,125,user_omega_4346,True,1
NSGA-II,75 84 36 17 69 3 92 7 76,SİMİT | TAM BUĞDAY EKMEK | KAYMAK | ELMA DİLİM PATATES KIZARTMASI B | ROKA SALATASI | AYVA REÇELİ | YEŞİL ZEYTIN | BÖĞÜRTLEN REÇELİ | SİYAH ZEYTIN,170.0,300.0,True,209.8829,11,True,1800.0,2200.0,False,1799.8598,user125_nsgaii_diversity_sample_menus,20.0,9999.0,True,20.9303,15,0,381 155 270 254 98 399,YOĞURT | EKMEK LD | KREMALI BROKOLİ ÇORBASI | KISIR | ALİ PAŞA PİLAVI | ZEYTİNYAĞLI ISPANAK,53.3,24.2,0.0,245.0,0.022973,40.0,100.0,True,46.7822,2,1500.0,2300.0,True,1902.3512,125,user_omega_4346,True,1
NSGA-II,75 84 36 17 69 3 92 7 76,SİMİT | TAM BUĞDAY EKMEK | KAYMAK | ELMA DİLİM PATATES KIZARTMASI B | ROKA SALATASI | AYVA REÇELİ | YEŞİL ZEYTIN | BÖĞÜRTLEN REÇELİ | SİYAH ZEYTIN,170.0,300.0,True,209.8829,11,True,1800.0,2200.0,False,1799.8598,user125_nsgaii_diversity_sample_menus,20.0,9999.0,True,20.9303,15,0,381 155 270 254 98 399,YOĞURT | EKMEK LD | KREMALI BROKOLİ ÇORBASI | KISIR | ALİ PAŞA PİLAVI | ZEYTİNYAĞLI ISPANAK,53.3,24.2,0.0,245.0,0.022973,40.0,100.0,True,46.7822,3,1500.0,2300.0,True,1902.3512,125,user_omega_4346,True,1
