algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,81 34 55 93 7 24,ŞEFTALİ SUYU | KARNABAHAR SALATASI | PATATES PÜRESİ B | YOĞURT B | BÖĞÜRTLEN REÇELİ | HAVUÇ SALATASI,170.0,300.0,True,232.5011,11,True,1800.0,2200.0,True,1814.316,user125_spea2_diversity_sample_menus,20.0,9999.0,True,23.8371,13,0,367 286 241 234 395 160 304,TAM BUĞDAY EKMEK LD | MANDALİNA | KABAK KALYE | ISPANAKLI PATATES ÇORBASI | YOĞURTLU SEMİZOTU | ELMA SUYU LD | NOHUTLU AYRAN  ÇORBASI,44.0,14.37,0.0,375.0,0.022727,40.0,100.0,True,58.875,1,1500.0,2300.0,True,1831.9983,125,user_omega_4346,True,0
SPEA2,67 17 80 9 47,PORTAKAL SUYU | ELMA DİLİM PATATES KIZARTMASI B | ŞEFTALİ REÇELİ | ÇEÇİL PEYNİRİ | MERCİMEK ÇORBASI,170.0,300.0,True,265.2937,12,True,1800.0,2200.0,True,2163.001,user125_spea2_diversity_sample_menus,20.0,9999.0,False,19.3206,13,0,346 252 152 270 341 366 404 393,SEBZELİ BULGUR PİLAVI | KAYISI SUYU LD | DOMATESLİ MAKARNA | KREMALI BROKOLİ ÇORBASI | SARAY ÇORBASI | ŞEKERPARE | ZEYTİNYAĞLI SEMİZOTU | YOĞURTLU PATLICAN KIZARTMASI,43.4,16.03,0.0,615.0,0.020881,40.0,100.0,True,57.4075,2,1500.0,2300.0,True,1626.5556,125,user_omega_4346,True,1
SPEA2,91 94 45 24 6,YER FISTIĞI EZMESİ | YULAF GEVREĞİ | MAKARNA SALATASI | HAVUÇ SALATASI | BEYAZ PEYNIR,170.0,300.0,True,267.3134,9,True,1800.0,2200.0,True,1854.0603,user125_spea2_diversity_sample_menus,20.0,9999.0,True,22.6168,11,0,301 250 131 211 375 200,MISIRLI PİRİNÇ PİLAVI | KAVUN | CACIK | HAVUÇ ÇORBASI | ÜZÜM | FINDIKLI İRMİK HELVASI,38.8,13.78,0.0,232.0,0.027778,40.0,100.0,True,52.5191,3,1500.0,2300.0,True,1500.0147,125,user_omega_4346,True,0
