algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,9 57 88 47,ÇEÇİL PEYNİRİ | PATATESLİ GÜL BÖREĞİ | VİŞNE SUYU | MERCİMEK ÇORBASI,170.0,300.0,True,209.9528,8,True,2000.0,2400.0,True,2140.032,user2_nsgaii_diversity_sample_menus,20.0,9999.0,False,18.273,9,0,95 391 318 131 197,AKDENİZ SALATASI LD | YOĞURTLU KARNABAHAR KIZARTMASI | PEYNİRLİ MAKARNA | CACIK | EZOGELİN ÇORBASI LD,24.0,15.47,52.8,320.0,0.031371,40.0,100.0,True,69.6095,1,1500.0,2300.0,True,1672.078,2,user_orbit_1740,True,1
NSGA-II,9 57 88 55,ÇEÇİL PEYNİRİ | PATATESLİ GÜL BÖREĞİ | VİŞNE SUYU | PATATES PÜRESİ B,170.0,300.0,True,224.3337,9,True,2000.0,2400.0,True,2242.9681,user2_nsgaii_diversity_sample_menus,20.0,9999.0,False,18.5548,10,0,95 391 318 131 197 242,AKDENİZ SALATASI LD | YOĞURTLU KARNABAHAR KIZARTMASI | PEYNİRLİ MAKARNA | CACIK | EZOGELİN ÇORBASI LD | KABAK MÜCVER,21.0,16.06,60.5,340.0,0.027879,40.0,100.0,True,70.315,2,1500.0,2300.0,True,1984.461,2,user_orbit_1740,True,1
NSGA-II,63 89 21 56,PEYNİRLİ GÜL BÖREĞİ | YABAN MERSİNİ MARMELATI | FINDIK EZMESİ | PATATES SALATASI,170.0,300.0,True,208.5881,7,True,2000.0,2400.0,True,2015.9134,user2_nsgaii_diversity_sample_menus,20.0,9999.0,True,21.6074,10,0,402 251 395 110 317 393,ZEYTİNYAĞLI KEREVİZ | KAYISI | YOĞURTLU SEMİZOTU | ARRABİATA SOSLU MAKARNA | PEYNİRLİ AKDENİZ SALATASI LD | YOĞURTLU PATLICAN KIZARTMASI,38.7,21.73,70.5,340.0,0.035714,40.0,100.0,True,50.5186,3,1500.0,2300.0,True,2273.3398,2,user_orbit_1740,True,0
