algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,81 44 82 34 89 19,ŞEFTALİ SUYU | LOR PEYNİRİ | TAHİN PEKMEZ | KARNABAHAR SALATASI | YABAN MERSİNİ MARMELATI | ERZİNCAN ÇORBASI,170.0,300.0,True,227.9357,10,True,1400.0,2000.0,True,1471.5677,user3_spea2_diversity_sample_menus,20.0,9999.0,True,26.882,11,0,283 388 245 104 113,MAKARNA SALATASI LD | YOĞURTLU KABAK KIZARTMASI | KARIŞIK TURŞU | ANTEP FISTIKLI TEL KADAYIF | AYVA,39.4,23.5,83.8497,246.0,0.025,19.0,50.0,True,29.5768,1,1200.0,1900.0,True,1506.862,3,user_nova_2680,False,0
SPEA2,17 90 87 24,ELMA DİLİM PATATES KIZARTMASI B | YAZ HELVASI | VİŞNE REÇELİ | HAVUÇ SALATASI,170.0,300.0,True,174.7935,9,True,1400.0,2000.0,True,1442.208,user3_spea2_diversity_sample_menus,20.0,9999.0,True,20.8907,9,0,176 158 132 129 128,ETSİZ BULGURLU ISPANAK | ELMA | CACIK LD | BULGUR PİLAVI | BULGUR ÇORBASI,19.0,11.59,53.9496,310.0,0.027778,19.0,50.0,True,47.9834,2,1200.0,1900.0,True,1208.6983,3,user_nova_2680,False,0
SPEA2,81 44 82 34 89 19,ŞEFTALİ SUYU | LOR PEYNİRİ | TAHİN PEKMEZ | KARNABAHAR SALATASI | YABAN MERSİNİ MARMELATI | ERZİNCAN ÇORBASI,170.0,300.0,True,227.9357,10,True,1400.0,2000.0,True,1471.5677,user3_spea2_diversity_sample_menus,20.0,9999.0,True,26.882,11,0,283 388 245 104 113,MAKARNA SALATASI LD | YOĞURTLU KABAK KIZARTMASI | KARIŞIK TURŞU | ANTEP FISTIKLI TEL KADAYIF | AYVA,39.4,23.5,83.8497,246.0,0.025,19.0,50.0,True,29.5768,3,1200.0,1900.0,True,1506.862,3,user_nova_2680,False,0
