algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,36 12 16 75 69 8,KAYMAK | ÇİLEK REÇELİ | EKMEK | SİMİT | ROKA SALATASI | BROKOLİ SALATASI,170.0,300.0,True,242.5623,8,False,1800.0,2200.0,True,1990.6071,user125_spea2_nodiversity_sample_menus,20.0,9999.0,True,37.382,10,0,302 393 214 295,MUZ | YOĞURTLU PATLICAN KIZARTMASI | HAVUÇ TARATOR | MENEMEN LD,21.6,25.05,0.0,190.0,0.0,40.0,100.0,True,47.1676,1,1500.0,2300.0,True,1882.4582,125,user_omega_4346,True,0
SPEA2,36 12 16 75 69 8,KAYMAK | ÇİLEK REÇELİ | EKMEK | SİMİT | ROKA SALATASI | BROKOLİ SALATASI,170.0,300.0,True,242.5623,8,False,1800.0,2200.0,True,1990.6071,user125_spea2_nodiversity_sample_menus,20.0,9999.0,True,37.382,10,0,302 393 214 295,MUZ | YOĞURTLU PATLICAN KIZARTMASI | HAVUÇ TARATOR | MENEMEN LD,21.6,25.05,0.0,190.0,0.0,40.0,100.0,True,47.1676,2,1500.0,2300.0,True,1882.4582,125,user_omega_4346,True,0
SPEA2,16 33,EKMEK | ISPANAKLI YUFKA BÖREĞİ,170.0,300.0,True,271.4991,3,False,1800.0,2200.0,True,2004.057,user125_spea2_nodiversity_sample_menus,20.0,9999.0,True,32.8691,6,0,389 398 386 269,YOĞURTLU KARIŞIK KIZARTMA | ZEYTİNYAĞLI BROKOLİ | YOĞURTLU ISPANAK | KREM ŞOKOLA,26.7,8.74,0.0,225.0,0.0,40.0,100.0,True,57.9119,3,1500.0,2300.0,True,1748.5447,125,user_omega_4346,True,0
