algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,18 78 28 76 24 86 71,ELMA SUYU | SOSİSLİ MİLFÖY BÖREĞİ | HİNDİ SALAMI | SİYAH ZEYTIN | HAVUÇ SALATASI | ÜZÜM PEKMEZİ | SEBZELİ GÜL BÖREĞİ,170.0,300.0,True,227.9493,12,True,2000.0,2400.0,True,2153.4166,user1_spea2_diversity_sample_menus,20.0,9999.0,False,19.874,14,0,217 391 327 194 331 309 303,HAYDARİ | YOĞURTLU KARNABAHAR KIZARTMASI | PİRİNÇ PİLAVI | ETSİZ PİRİNÇLİ PIRASA | PORTAKAL SUYU LD | PARMAK PATATES KIZARTMASI | NOHUT ÇORBASI,45.8,21.72,65.5,495.0,0.020842,40.0,100.0,True,56.0584,1,1500.0,2300.0,True,2030.6363,1,user_gamma_3991,False,1
SPEA2,18 78 28 76 24 86 71,ELMA SUYU | SOSİSLİ MİLFÖY BÖREĞİ | HİNDİ SALAMI | SİYAH ZEYTIN | HAVUÇ SALATASI | ÜZÜM PEKMEZİ | SEBZELİ GÜL BÖREĞİ,170.0,300.0,True,227.9493,12,True,2000.0,2400.0,True,2153.4166,user1_spea2_diversity_sample_menus,20.0,9999.0,False,19.874,14,0,217 391 327 194 331 309 303,HAYDARİ | YOĞURTLU KARNABAHAR KIZARTMASI | PİRİNÇ PİLAVI | ETSİZ PİRİNÇLİ PIRASA | PORTAKAL SUYU LD | PARMAK PATATES KIZARTMASI | NOHUT ÇORBASI,45.8,21.72,65.5,495.0,0.020842,40.0,100.0,True,56.0584,2,1500.0,2300.0,True,2030.6363,1,user_gamma_3991,False,1
SPEA2,18 78 28 76 24 86 71,ELMA SUYU | SOSİSLİ MİLFÖY BÖREĞİ | HİNDİ SALAMI | SİYAH ZEYTIN | HAVUÇ SALATASI | ÜZÜM PEKMEZİ | SEBZELİ GÜL BÖREĞİ,170.0,300.0,True,227.9493,12,True,2000.0,2400.0,True,2153.4166,user1_spea2_diversity_sample_menus,20.0,9999.0,False,19.874,14,0,217 391 327 194 331 309 303,HAYDARİ | YOĞURTLU KARNABAHAR KIZARTMASI | PİRİNÇ PİLAVI | ETSİZ PİRİNÇLİ PIRASA | PORTAKAL SUYU LD | PARMAK PATATES KIZARTMASI | NOHUT ÇORBASI,45.8,21.72,65.5,495.0,0.020842,40.0,100.0,True,56.0584,3,1500.0,2300.0,True,2030.6363,1,user_gamma_3991,False,1
