algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
SPEA2,82 17 40 3 87 16,TAHİN PEKMEZ | ELMA DİLİM PATATES KIZARTMASI B | KRUVASAN | AYVA REÇELİ | VİŞNE REÇELİ | EKMEK,170.0,300.0,False,306.3976,9,True,2000.0,2400.0,True,2058.9175,user2_spea2_diversity_sample_menus,20.0,9999.0,False,18.4268,14,0,112 213 272 386 332 216 395 273,AYRAN | HAVUÇ SUYU LD | KREMALI FESLEĞENLİ MAKARNA | YOĞURTLU ISPANAK | PORTAKALLI REVANİ | HAVUÇ-TURP SALATASI LD | YOĞURTLU SEMİZOTU | KREMALI ISPANAK ÇORBASI,48.5,24.9,112.4,412.0,0.042652,40.0,100.0,True,57.814,1,1500.0,2300.0,True,1777.0203,2,user_orbit_1740,True,2
SPEA2,82 17 40 3 87 16,TAHİN PEKMEZ | ELMA DİLİM PATATES KIZARTMASI B | KRUVASAN | AYVA REÇELİ | VİŞNE REÇELİ | EKMEK,170.0,300.0,False,306.3976,9,True,2000.0,2400.0,True,2058.9175,user2_spea2_diversity_sample_menus,20.0,9999.0,False,18.4268,14,0,112 213 272 386 332 216 395 273,AYRAN | HAVUÇ SUYU LD | KREMALI FESLEĞENLİ MAKARNA | YOĞURTLU ISPANAK | PORTAKALLI REVANİ | HAVUÇ-TURP SALATASI LD | YOĞURTLU SEMİZOTU | KREMALI ISPANAK ÇORBASI,48.5,24.9,112.4,412.0,0.042652,40.0,100.0,True,57.814,2,1500.0,2300.0,True,1777.0203,2,user_orbit_1740,True,2
SPEA2,61 24 25 74 87 16,PERMESAN PEYNİRİ | HAVUÇ SALATASI | HAVUÇ SUYU | SEMİZOTU SALATASI | VİŞNE REÇELİ | EKMEK,170.0,300.0,True,288.5784,11,True,2000.0,2400.0,True,2105.5425,user2_spea2_diversity_sample_menus,20.0,9999.0,True,27.7085,13,0,108 388 350 208 139 354 397,ARPA ŞEHRİYE PİLAVI | YOĞURTLU KABAK KIZARTMASI | SEBZELİ MAKARNA | GREYFURT SUYU LD | ÇİLEK | SOSLU MAKARNA | ZEYTİNYAĞLI BİBER DOLMASI,36.6,23.03,82.5,420.0,0.022727,40.0,100.0,True,52.4367,3,1500.0,2300.0,True,2299.011,2,user_orbit_1740,True,0
