algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,1 14 92 75,AKDENİZ SALATASI | DİL PEYNİRİ | YEŞİL ZEYTIN | SİMİT,170.0,300.0,True,198.9315,8,False,1400.0,2000.0,True,1620.2561,user3_nsgaii_nodiversity_sample_menus,20.0,9999.0,False,18.8026,8,0,266 188 208 220,KORNİŞON TURŞU | ETSİZ NOHUT | GREYFURT SUYU LD | HAZIR PAKETLİ SÜTLÜ TATLI-KEŞKÜL,42.3,22.8,53.3622,90.0,8.4e-05,19.0,50.0,True,46.3679,1,1200.0,1900.0,True,1327.919,3,user_nova_2680,False,1
NSGA-II,76 51 2 16 15,SİYAH ZEYTIN | NARLI KAHVALTI SALATASI | ARMUT REÇELİ | EKMEK | DOMATES SALATALIK SÖĞÜŞ,170.0,300.0,True,252.6385,8,False,1400.0,2000.0,True,1802.7091,user3_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,21.1426,10,0,249 175 116 295 219,KAŞAR PEYNİRLİ MAKARNA | ETSİZ BROKOLİ | BADEMLİ PİRİNÇ PİLAVI | MENEMEN LD | HAZIR PAKETLİ SÜTLÜ TATLI-KAZANDİBİ,25.2,27.33,81.1948,232.0,0.0,19.0,50.0,True,47.888,2,1200.0,1900.0,True,1583.743,3,user_nova_2680,False,0
NSGA-II,60,PATATESLİ YUFKA BÖREĞİ,170.0,300.0,True,182.8528,4,False,1400.0,2000.0,True,1628.48,user3_nsgaii_nodiversity_sample_menus,20.0,9999.0,True,33.1521,4,0,355 291 214,SOSLU PATLICAN KIZARTMASI | MANTARLI MAKARNA | HAVUÇ TARATOR,22.4,5.36,20.064,245.0,0.0,19.0,50.0,True,39.691,3,1200.0,1900.0,True,1378.623,3,user_nova_2680,False,0
