algorithm,breakfast_ids,breakfast_names,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_ok,carbohydrate_value,distinct_groups,diversity_enabled,energy_RLL,energy_RUL,energy_ok,energy_value,experiment,fiber_RLL,fiber_RUL,fiber_ok,fiber_value,food_count,forbidden_items,lunch_dinner_ids,lunch_dinner_names,objective_co2,objective_cost,objective_preference,objective_time,penalty,protein_RLL,protein_RUL,protein_ok,protein_value,rank,sodium_RLL,sodium_RUL,sodium_ok,sodium_value,user_id,username,vegetarian,violated_nutrients
NSGA-II,42 75 50,KUŞBURNU MARMELATI | SİMİT | MEYVELİ YULAF GEVREĞİ,170.0,300.0,True,294.6134,6,True,1400.0,2000.0,True,1580.735,user3_nsgaii_diversity_sample_menus,20.0,9999.0,True,32.297,6,0,390 122 302,YOĞURTLU KARNABAHAR | BALIK PANE | MUZ,14.3,19.5,23.5446,93.0,0.041667,19.0,50.0,True,48.2658,1,1200.0,1900.0,True,1297.515,3,user_nova_2680,False,0
NSGA-II,42 75 50,KUŞBURNU MARMELATI | SİMİT | MEYVELİ YULAF GEVREĞİ,170.0,300.0,True,294.6134,6,True,1400.0,2000.0,True,1580.735,user3_nsgaii_diversity_sample_menus,20.0,9999.0,True,32.297,6,0,390 122 302,YOĞURTLU KARNABAHAR | BALIK PANE | MUZ,14.3,19.5,23.5446,93.0,0.041667,19.0,50.0,True,48.2658,2,1200.0,1900.0,True,1297.515,3,user_nova_2680,False,0
NSGA-II,42 75 50,KUŞBURNU MARMELATI | SİMİT | MEYVELİ YULAF GEVREĞİ,170.0,300.0,True,294.6134,6,True,1400.0,2000.0,True,1580.735,user3_nsgaii_diversity_sample_menus,20.0,9999.0,True,32.297,6,0,390 122 302,YOĞURTLU KARNABAHAR | BALIK PANE | MUZ,14.3,19.5,23.5446,93.0,0.041667,19.0,50.0,True,48.2658,3,1200.0,1900.0,True,1297.515,3,user_nova_2680,False,0
